product_link,image_url,product_id,description
http://www.anipet.com/product-1.php?item=27235,http://www.anipet.com/prod_images/thumb3-27234-1350940245.jpg,27235,KONG Classic Medium
http://www.anipet.com/product-1.php?item=27236,http://www.anipet.com/prod_images/thumb3-27236-1350940167.jpg,27236,KONG Classic Small
http://www.anipet.com/product-1.php?item=27240,http://www.anipet.com/prod_images/thumb3-27234-1350940045.jpg,27240,KONG Classic XLarge
http://www.anipet.com/product-1.php?item=27239,http://www.anipet.com/prod_images/thumb3-27239-1350938211.jpg,27239,Kong Extreme XXLarge
http://www.anipet.com/product-1.php?item=27238,http://www.anipet.com/prod_images/t-27236.jpg,27238,Kong Original Red XXLarge
http://www.anipet.com/product-1.php?item=30930,http://www.anipet.com/prod_images/thumb2-30930-1410797209.jpg,30930,KONG Puppy XSmall
http://www.anipet.com/product-1.php?item=30933,http://www.anipet.com/prod_images/thumb2-309331-33-1410798940.jpg,30933,KONG Safestix Large
http://www.anipet.com/product-1.php?item=30932,http://www.anipet.com/prod_images/thumb2-309331-33-1410798854.jpg,30932,KONG Safestix Medium
http://www.anipet.com/product-1.php?item=30931,http://www.anipet.com/prod_images/thumb2-309331-33-1410798689.jpg,30931,KONG Safestix Small
http://www.anipet.com/product-1.php?item=21422,http://www.anipet.com/prod_images/thumb2-21422-1352153957.jpg,21422,KONG Squeezz Bone Large
http://www.anipet.com/product-1.php?item=21421,http://www.anipet.com/prod_images/thumb2-21421-1352153979.jpg,21421,KONG Squeezz Bone Medium
http://www.anipet.com/product-1.php?item=21418,http://www.anipet.com/prod_images/thumb2-21418-1352154010.jpg,21418,KONG Squeezz Dumbell Large
http://www.anipet.com/product-1.php?item=21417,http://www.anipet.com/prod_images/thumb2-21417-1352154030.jpg,21417,KONG Squeezz Dumbell Medium
http://www.anipet.com/product-1.php?item=21416,http://www.anipet.com/prod_images/thumb2-21416-1352154048.jpg,21416,KONG Squeezz Dumbell Small
http://www.anipet.com/product-1.php?item=21420,http://www.anipet.com/prod_images/thumb2-21420-1352154066.jpg,21420,KONG Squeezz Football Large
http://www.anipet.com/product-1.php?item=21424,http://www.anipet.com/prod_images/t-21423.jpg,21424,KONG Squeezz Ring - Large
http://www.anipet.com/product-1.php?item=21423,http://www.anipet.com/prod_images/t-21423.jpg,21423,KONG Squeezz Ring - Medium
