description,image_url1,product_name
"
",http://www.anipet.com/product-1.php?item=prod_images/28993-1-1352135550.jpg,DogSaver Squeaky Bone 4.5
"
",http://www.anipet.com/product-1.php?item=prod_images/28994-1-1352136283.jpg,"DogSaver Squeaky Bone Large 8.25"""
"
						The stick is ready for the most enthusiastic fetchers around. These toys are bright candy-colored and candy-scented. Dogsavers super-durable, synthetic rubber stick is shaped into a flexible cylinder that is easy to throw and easy for dogs to catch and pick up. This Dogsavers Stick is best for interactive play and training, not chewing.						
												
						",http://www.anipet.com/product-1.php?item=prod_images/28991-1352133353.jpg,DogSaver Stick Medium 12
"
						Made from super-durable synthetic rubber for heavy-duty chomping and interactive play. These toys are bright candy-colored and candy-scented. Dogsavers are great for more than chewing! They are the perfect toy for interactive play and education - training wheels for your dog! Bond with your dog while providing him with the exercise and discipline he needs to stay healthy and strong. 						
												
						","http://www.anipet.com/product-1.php?item=prod_images/28984-5-1352141675.jpg,http://www.anipet.com/product-1.php?item=prod_images/28984-4-1352141657.jpg,http://www.anipet.com/product-1.php?item=prod_images/28984-3-1352141640.jpg,http://www.anipet.com/product-1.php?item=prod_images/28984-5-1352141675.jpg,http://www.anipet.com/product-1.php?item=prod_images/28984-4-1352141657.jpg,http://www.anipet.com/product-1.php?item=prod_images/28984-3-1352141640.jpg",DogSavers PawTrack Small
"
						Dogsavers are made of super-durable scented rubber, perfect for chomping and satisfying interactive playing requirements. These toys are bright candy-colored and candy-scented. All Dogsavers float. Assorted flavors! 						
												
						","http://www.anipet.com/product-1.php?item=prod_images/30131-1-1352138056.jpg,http://www.anipet.com/product-1.php?item=prod_images/30131-1352138039.jpg,http://www.anipet.com/product-1.php?item=prod_images/30131-1-1352138056.jpg,http://www.anipet.com/product-1.php?item=prod_images/30131-1352138039.jpg",Dogsavers PawTrack With Rope Small
"
						Mammoth Pet's DogSaver Retriever is the perfect toy for tossing, flipping, and chewing! These bright candy colored and scented toys are constructed of super-durable synthetic rubber, ideal for medium chewers and rambunctious fetchers. It even floats for fun summer water games! Give it a whirl and watch your dog go! ","http://www.anipet.com/product-1.php?item=prod_images/28990-2-1352136031.jpg,http://www.anipet.com/product-1.php?item=prod_images/28990-1-1352135931.jpg,http://www.anipet.com/product-1.php?item=prod_images/28990-1352133980.jpg,http://www.anipet.com/product-1.php?item=prod_images/28993-1352133944.jpg,http://www.anipet.com/product-1.php?item=prod_images/28990-2-1352136031.jpg,http://www.anipet.com/product-1.php?item=prod_images/28990-1-1352135931.jpg,http://www.anipet.com/product-1.php?item=prod_images/28990-1352133980.jpg,http://www.anipet.com/product-1.php?item=prod_images/28993-1352133944.jpg",DogSavers Retriever With Rope
"
						Three sizes are available to satisfy large, tenacious power chewers. Now being used worldwide by police K-9, drug enforcement, and military K-9 teams; Schutzhund and AKC competition trainers and many more. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/27407.jpg,Extreme Kong - Medium
"
						Three sizes are available to satisfy large, tenacious power chewers. Now being used worldwide by police K-9, drug enforcement, and military K-9 teams; Schutzhund and AKC competition trainers and many more. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/29513.jpg,Extreme Kong - Small
"
						Three sizes are available to satisfy large, tenacious power chewers. Now being used worldwide by police K-9, drug enforcement, and military K-9 teams; Schutzhund and AKC competition trainers and many more. 						
												
						",http://www.anipet.com/product-1.php?item=prod_images/27242-1416421416.jpg,Extreme Kong - X-Large
"
						Fuzzy and rubber textures to keep your dog intrigued, Great size for throwing and fetching. Made with heavy duty rubber and a long-winded squeaker.						
												
						",http://www.anipet.com/product-1.php?item=prod_images/21651-1370019604.jpg,Fuzz Cuz Medium
