"Item Type","Product ID","Product Name","Product Type","Product Code/SKU","Bin Picking Number","Brand Name","Option Set","Option Set Align","Product Description",Price,"Cost Price","Retail Price","Sale Price","Fixed Shipping Cost","Free Shipping","Product Warranty","Product Weight","Product Width","Product Height","Product Depth","Allow Purchases?","Product Visible?","Product Availability","Track Inventory","Current Stock Level","Low Stock Level",Category,"Product Image ID - 1","Product Image File - 1","Product Image Description - 1","Product Image Is Thumbnail - 1","Product Image Sort - 1","Product Image ID - 2","Product Image File - 2","Product Image Description - 2","Product Image Is Thumbnail - 2","Product Image Sort - 2","Product Image ID - 3","Product Image File - 3","Product Image Description - 3","Product Image Is Thumbnail - 3","Product Image Sort - 3","Product Image ID - 4","Product Image File - 4","Product Image Description - 4","Product Image Is Thumbnail - 4","Product Image Sort - 4","Product Image ID - 5","Product Image File - 5","Product Image Description - 5","Product Image Is Thumbnail - 5","Product Image Sort - 5","Product Image ID - 6","Product Image File - 6","Product Image Description - 6","Product Image Is Thumbnail - 6","Product Image Sort - 6","Product Image ID - 7","Product Image File - 7","Product Image Description - 7","Product Image Is Thumbnail - 7","Product Image Sort - 7","Product Image ID - 8","Product Image File - 8","Product Image Description - 8","Product Image Is Thumbnail - 8","Product Image Sort - 8","Product Image ID - 9","Product Image File - 9","Product Image Description - 9","Product Image Is Thumbnail - 9","Product Image Sort - 9","Search Keywords","Page Title","Meta Keywords","Meta Description","MYOB Asset Acct","MYOB Income Acct","MYOB Expense Acct","Product Condition","Show Product Condition?","Event Date Required?","Event Date Name","Event Date Is Limited?","Event Date Start Date","Event Date End Date","Sort Order","Product Tax Class","Product UPC/EAN","Stop Processing Rules","Product URL","Redirect Old URL?","GPS Global Trade Item Number","GPS Manufacturer Part Number","GPS Gender","GPS Age Group","GPS Color","GPS Size","GPS Material","GPS Pattern","GPS Item Group ID","GPS Category","GPS Enabled","Avalara Product Tax Code"
"  SKU",2,[S]Size=XLarge,,1030-XL,,,,,,,1.88,,,,,,,,,,,,,,17,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",2,"[S]Size=XSmall,Size=Small,Size=Medium,Size=Large,Size=12"",Size=16"",Size=18"",Size=Double XLarge,Size=24"",Size=Small/Medium,Size=Medium/Large,Size=One Size,Size=14""",,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
Product,1885,"Refill Bags 90 bags / 6 rolls (1029)",P,1029,,Doo-n-Go,Size,Right,,7.99,3.54,0.00,7.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by option",18,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/refill-bags-90-bags-6-rolls-1029/,,,,,,,,,,,,N,
"  SKU",1,[S]Size=XLarge,,1029-XL,,,,,,,3.54,,,,,,,,,,,,,,18,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",1,"[S]Size=XSmall,Size=Small,Size=Medium,Size=Large,Size=12"",Size=16"",Size=18"",Size=Double XLarge,Size=24"",Size=Small/Medium,Size=Medium/Large,Size=One Size,Size=14""",,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
Product,1886,"Refill Bags Scented 120 bags / 6 rolls (1031)",P,1031,,Doo-n-Go,Size,Right,,7.99,3.54,0.00,7.99,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by option",12,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/refill-bags-scented-120-bags-6-rolls-1031/,,,,,,,,,,,,N,
"  SKU",5,[S]Size=Large,,1031-LGE,,,,,,,3.54,,,,,,,,,,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"  Rule",5,"[S]Size=XSmall,Size=Small,Size=Medium,Size=XLarge,Size=12"",Size=16"",Size=18"",Size=Double XLarge,Size=24"",Size=Small/Medium,Size=Medium/Large,Size=One Size,Size=14""",,,,,,,,,,,,,,,,,,,N,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N,,,,,,,,,,,,,,
Product,1887,"Refill Bags 90 bags / 3 rolls (1028)",P,1028,,Doo-n-Go,Size,Right,,4.29,1.83,0.00,4.29,0.00,N,,0.0000,0.0000,0.0000,0.0000,Y,Y,,"by option",12,0,Mens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,New,N,N,,N,0,0,0,"Default Tax Class",,N,/refill-bags-90-bags-3-rolls-1028/,,,,,,,,,,,,N,
"  SKU",3,[S]Size=Small,,1028-SML,,,,,,,1.83,,,,,,,,,,,,,,12,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
